کدمحصول,عنوان,لایه درخت,نوع
1010412310,پودر زغال سنگ سخت,5,برگ
1010412311,بریکت زغال سنگ سخت,5,برگ
1010412313,کنسانتره زغال سنگ سخت (بیتومینه),5,برگ
1010412314,زغال سنگ سخت شستشو و دانه بندی شده,5,برگ
1010412315,آنتراسیت کلسینه شده,5,برگ
1020,استخراج و آگلومراسیون لیگنیت,3,شاخه
1020312301,انواع لیگنیت (استخراج),4,شاخه
1020412302,لیگنیت (استخراج),5,برگ
1020412303,انواع فرآورده لیگنیت,4,شاخه
1020512304,کنسانتره لیگنیت,5,برگ
1020512305,لیگنیت دانه بندی شده,5,برگ
1020512306,لیگنیت پودر شده,5,برگ
1020512307,لیگنیت آگلومره شده,5,برگ
1020512308,بریکت لیگنیت,5,برگ
1020512309,لیگنیت شستشو و خشک شده,5,برگ
1030,استخراج و آگلومراسیون تورب,3,شاخه
1030312301,انواع تورب (استخراج),4,شاخه
1030412302,تورب (استخراج),5,برگ
1030312304,انواع فرآورده تورب,4,شاخه
1030412303,آگلومراسیون تورب,5,برگ
11,استخراج نفت خام و گاز طبیعی؛ فعالیتهای خدماتی جنبی استخراج نفت و گاز، به استثنای بررسی های اکتشافی,2,شاخه
1110,استخراج نفت خام و گاز طبیعی,3,شاخه
1110312301,محصولات حاصل از استخراج چاه نفت و یا معادن دارای مواد قیری به جز هیدروکربنهای گازی خام,4,شاخه
1110412302,سنگ و ماسه قیردار,5,برگ
1110412303,نفت خام,5,شاخه
1110512304,نفت خام استخراج شده از چاه,6,برگ
1110512305,نفت خام تولید شده از سنگ و ماسه قیردار,6,برگ
1110312306,هیدروکربنهای گازی خام,4,شاخه
1110412307,متان استخراج شده از معدن (CMM),5,برگ
1110412308,اتان استخراج شده از معدن,5,برگ
1110412309,بوتان استخراج شده از معدن,5,برگ
1110412310,پروپان استخراج شده از معدن,5,برگ
1110412311,گاز طبیعی خام,5,شاخه
1110512312,گاز طبیعی خام مایع شده,6,برگ
1110512313,گاز طبیعی خام به حالت گاز,6,برگ
13,استخراج کانسارهای فلزی,2,شاخه
1310,استخراج کانسارهای فلزی آهن,3,شاخه
1310312301,کانسنگ آهن غیر پلاسری (استخراج),4,شاخه
1310412302,سیدریت,5,برگ
1310412304,مگنتیت (غیر پلاسری),5,برگ
1310412305,هماتیت (غیرپلاسری),5,برگ
1310412306,گوتیت,5,برگ
1310412311,اولیژیست,5,برگ
1310312307,دانه بندی و کانه آرایی کانسارهای فلزی آهن,4,شاخه
1310412308,دانه بندی و کانه آرایی سنگ آهن,5,برگ
1310412309,کنسانتره آهن,5,برگ
1310412310,گندله آهن,5,برگ
1310412312,هماتیت گاما,5,برگ
1310412317,کلوخه سنگ آهن (آگلومره),5,برگ
1310412320,بریکت از نرمه گندله سنگ آهن,5,برگ
1310412321,پودر میکرونیزه هماتیت,5,برگ
1310312313,کانسنگ آهن پلاسری (استخراج),4,شاخه
1310412314,مگنتیت (پلاسری),5,برگ
1310412319,هماتیت (پلاسری),5,برگ
1310312316,سایر انواع کانسنگ آهن,4,شاخه
